Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [LSB]	G_Y [LSB]	G_Z [LSB]	G_X [dps]	G_Y [dps]	G_Z [dps]	T [LSB]	T [degC]	QVAR [LSB]	
88603	223	1659	-7920	27.206	202.398	-966.240	5	5	-3	0.700	0.700	-0.420	-347	23.645	240	
89606	228	1676	-7902	27.816	204.472	-964.044	7	3	-2	0.980	0.420	-0.280	-347	23.645	272	
90610	224	1673	-7908	27.328	204.106	-964.776	8	4	-2	1.120	0.560	-0.280	-347	23.645	272	
91614	247	1680	-7916	30.134	204.960	-965.752	7	4	-2	0.980	0.560	-0.280	-347	23.645	272	
92617	245	1640	-7919	29.890	200.080	-966.118	7	4	-2	0.980	0.560	-0.280	-347	23.645	272	
93621	254	1644	-7930	30.988	200.568	-967.460	7	1	-3	0.980	0.140	-0.420	-347	23.645	240	
94625	228	1657	-7918	27.816	202.154	-965.996	8	2	-1	1.120	0.280	-0.140	-347	23.645	240	
95628	226	1656	-7906	27.572	202.032	-964.532	9	1	0	1.260	0.140	0.000	-347	23.645	240	
96631	239	1647	-7938	29.158	200.934	-968.436	9	1	-2	1.260	0.140	-0.280	-347	23.645	240	
97635	236	1640	-7929	28.792	200.080	-967.338	8	0	-1	1.120	0.000	-0.140	-347	23.645	216	
98639	236	1616	-7944	28.792	197.152	-969.168	10	-2	-1	1.400	-0.280	-0.140	-347	23.645	216	
99642	220	1608	-7939	26.840	196.176	-968.558	9	-2	-1	1.260	-0.280	-0.140	-351	23.629	216	
100646	246	1612	-7940	30.012	196.664	-968.680	9	-1	0	1.260	-0.140	0.000	-351	23.629	216	
101650	233	1601	-7938	28.426	195.322	-968.436	7	-3	0	0.980	-0.420	0.000	-351	23.629	188	
102653	221	1597	-7947	26.962	194.834	-969.534	9	-4	0	1.260	-0.560	0.000	-351	23.629	188	
103656	221	1595	-7917	26.962	194.590	-965.874	11	-5	1	1.540	-0.700	0.140	-351	23.629	188	
104660	211	1576	-7933	25.742	192.272	-967.826	10	-4	1	1.400	-0.560	0.140	-351	23.629	188	
105664	197	1593	-7953	24.034	194.346	-970.266	10	-6	0	1.400	-0.840	0.000	-351	23.629	216	
106667	199	1559	-7954	24.278	190.198	-970.388	10	-6	1	1.400	-0.840	0.140	-351	23.629	216	
107670	197	1585	-7952	24.034	193.370	-970.144	9	-7	2	1.260	-0.980	0.280	-351	23.629	216	
108674	191	1548	-7939	23.302	188.856	-968.558	9	-7	1	1.260	-0.980	0.140	-351	23.629	216	
109677	187	1561	-7929	22.814	190.442	-967.338	7	-8	2	0.980	-1.120	0.280	-351	23.629	236	
110680	162	1550	-7956	19.764	189.100	-970.632	8	-8	1	1.120	-1.120	0.140	-351	23.629	236	
111684	161	1536	-7945	19.642	187.392	-969.290	8	-8	2	1.120	-1.120	0.280	-351	23.629	236	
112688	155	1556	-7931	18.910	189.832	-967.582	6	-8	1	0.840	-1.120	0.140	-351	23.629	236	
113691	161	1539	-7951	19.642	187.758	-970.022	5	-9	1	0.700	-1.260	0.140	-351	23.629	228	
114694	143	1536	-7945	17.446	187.392	-969.290	6	-9	2	0.840	-1.260	0.280	-351	23.629	228	
115698	142	1521	-7945	17.324	185.562	-969.290	5	-11	2	0.700	-1.540	0.280	-351	23.629	228	
116701	118	1524	-7948	14.396	185.928	-969.656	4	-9	2	0.560	-1.260	0.280	-351	23.629	228	
117704	111	1507	-7936	13.542	183.854	-968.192	3	-10	2	0.420	-1.400	0.280	-351	23.629	236	
118708	96	1517	-7940	11.712	185.074	-968.680	3	-10	3	0.420	-1.400	0.420	-351	23.629	236	
119712	103	1502	-7935	12.566	183.244	-968.070	2	-12	2	0.280	-1.680	0.280	-351	23.629	236	
120715	92	1517	-7959	11.224	185.074	-970.998	2	-10	3	0.280	-1.400	0.420	-351	23.629	236	
121718	80	1509	-7948	9.760	184.098	-969.656	1	-11	2	0.140	-1.540	0.280	-351	23.629	212	
122722	59	1527	-7944	7.198	186.294	-969.168	1	-10	2	0.140	-1.400	0.280	-351	23.629	212	
123725	70	1526	-7935	8.540	186.172	-968.070	1	-11	2	0.140	-1.540	0.280	-351	23.629	212	
124728	54	1504	-7939	6.588	183.488	-968.558	-1	-11	2	-0.140	-1.540	0.280	-351	23.629	212	
125732	35	1520	-7919	4.270	185.440	-966.118	-1	-11	3	-0.140	-1.540	0.420	-351	23.629	180	
126736	21	1500	-7928	2.562	183.000	-967.216	-1	-11	3	-0.140	-1.540	0.420	-351	23.629	180	
127739	32	1520	-7936	3.904	185.440	-968.192	0	-11	2	0.000	-1.540	0.280	-351	23.629	180	
128742	42	1504	-7940	5.124	183.488	-968.680	0	-13	3	0.000	-1.820	0.420	-351	23.629	180	
129746	11	1513	-7930	1.342	184.586	-967.460	-3	-11	3	-0.420	-1.540	0.420	-351	23.629	188	
130749	40	1544	-7918	4.880	188.368	-965.996	-3	-11	3	-0.420	-1.540	0.420	-351	23.629	188	
131752	14	1511	-7923	1.708	184.342	-966.606	-3	-8	2	-0.420	-1.120	0.280	-351	23.629	188	
132755	26	1531	-7913	3.172	186.782	-965.386	-3	-9	3	-0.420	-1.260	0.420	-351	23.629	188	
133759	2	1530	-7926	0.244	186.660	-966.972	-3	-10	4	-0.420	-1.400	0.560	-351	23.629	116	
134762	18	1535	-7918	2.196	187.270	-965.996	-2	-9	3	-0.280	-1.260	0.420	-351	23.629	116	
135765	-13	1544	-7913	-1.586	188.368	-965.386	-4	-9	3	-0.560	-1.260	0.420	-351	23.629	116	
136769	1	1554	-7903	0.122	189.588	-964.166	-6	-9	3	-0.840	-1.260	0.420	-351	23.629	116	
137773	11	1558	-7924	1.342	190.076	-966.728	-6	-9	4	-0.840	-1.260	0.560	-351	23.629	168	
138776	4	1550	-7909	0.488	189.100	-964.898	-6	-8	3	-0.840	-1.120	0.420	-351	23.629	168	
139779	-15	1565	-7920	-1.830	190.930	-966.240	-6	-8	3	-0.840	-1.120	0.420	-351	23.629	168	
140783	-6	1566	-7911	-0.732	191.052	-965.142	-6	-8	3	-0.840	-1.120	0.420	-351	23.629	168	
141786	-10	1579	-7907	-1.220	192.638	-964.654	-7	-9	5	-0.980	-1.260	0.700	-351	23.629	180	
142789	-5	1556	-7915	-0.610	189.832	-965.630	-8	-7	3	-1.120	-0.980	0.420	-351	23.629	180	
143793	-11	1567	-7900	-1.342	191.174	-963.800	-7	-6	3	-0.980	-0.840	0.420	-351	23.629	180	
144796	-10	1597	-7912	-1.220	194.834	-965.264	-7	-5	4	-0.980	-0.700	0.560	-351	23.629	180	
145799	-12	1581	-7926	-1.464	192.882	-966.972	-9	-5	4	-1.260	-0.700	0.560	-351	23.629	244	
146802	3	1598	-7903	0.366	194.956	-964.166	-7	-5	4	-0.980	-0.700	0.560	-351	23.629	244	
147806	-26	1601	-7917	-3.172	195.322	-965.874	-5	-4	3	-0.700	-0.560	0.420	-351	23.629	244	
148809	-1	1598	-7915	-0.122	194.956	-965.630	-8	-3	3	-1.120	-0.420	0.420	-351	23.629	244	
149812	-14	1594	-7926	-1.708	194.468	-966.972	-7	-4	2	-0.980	-0.560	0.280	-351	23.629	152	
150816	-11	1605	-7902	-1.342	195.810	-964.044	-6	-5	3	-0.840	-0.700	0.420	-351	23.629	152	
151820	-12	1606	-7916	-1.464	195.932	-965.752	-6	-3	3	-0.840	-0.420	0.420	-351	23.629	152	
152823	10	1609	-7908	1.220	196.298	-964.776	-7	-5	3	-0.980	-0.700	0.420	-351	23.629	152	
153826	-3	1616	-7915	-0.366	197.152	-965.630	-6	-4	3	-0.840	-0.560	0.420	-351	23.629	240	
154830	-10	1615	-7909	-1.220	197.030	-964.898	-6	-4	2	-0.840	-0.560	0.280	-351	23.629	240	
155833	-10	1621	-7895	-1.220	197.762	-963.190	-6	-3	3	-0.840	-0.420	0.420	-351	23.629	240	
156836	0	1622	-7904	0.000	197.884	-964.288	-6	-2	4	-0.840	-0.280	0.560	-351	23.629	240	
157840	0	1620	-7893	0.000	197.640	-962.946	-7	-4	3	-0.980	-0.560	0.420	-351	23.629	248	
158844	15	1618	-7903	1.830	197.396	-964.166	-8	-2	3	-1.120	-0.280	0.420	-351	23.629	248	
159847	16	1624	-7908	1.952	198.128	-964.776	-7	-2	3	-0.980	-0.280	0.420	-351	23.629	248	
160850	12	1611	-7906	1.464	196.542	-964.532	-6	-2	2	-0.840	-0.280	0.280	-351	23.629	248	
161854	22	1626	-7886	2.684	198.372	-962.092	-7	-1	2	-0.980	-0.140	0.280	-351	23.629	248	
162857	14	1613	-7889	1.708	196.786	-962.458	-6	0	1	-0.840	0.000	0.140	-351	23.629	248	
163860	8	1616	-7880	0.976	197.152	-961.360	-6	-1	2	-0.840	-0.140	0.280	-351	23.629	248	
164864	0	1598	-7892	0.000	194.956	-962.824	-6	-1	2	-0.840	-0.140	0.280	-351	23.629	248	
165868	9	1610	-7904	1.098	196.420	-964.288	-6	-1	3	-0.840	-0.140	0.420	-351	23.629	244	
166871	26	1620	-7911	3.172	197.640	-965.142	-6	1	2	-0.840	0.140	0.280	-351	23.629	244	
167874	33	1616	-7904	4.026	197.152	-964.288	-5	1	2	-0.700	0.140	0.280	-351	23.629	244	
168878	28	1607	-7884	3.416	196.054	-961.848	-4	1	2	-0.560	0.140	0.280	-351	23.629	244	
169881	29	1613	-7921	3.538	196.786	-966.362	-7	0	3	-0.980	0.000	0.420	-351	23.629	248	
170884	36	1615	-7906	4.392	197.030	-964.532	-6	0	2	-0.840	0.000	0.280	-351	23.629	248	
171888	25	1617	-7926	3.050	197.274	-966.972	-7	2	1	-0.980	0.280	0.140	-351	23.629	248	
172892	40	1597	-7922	4.880	194.834	-966.484	-8	0	2	-1.120	0.000	0.280	-351	23.629	248	
173895	40	1599	-7915	4.880	195.078	-965.630	-7	1	2	-0.980	0.140	0.280	-351	23.629	292	
174898	35	1613	-7909	4.270	196.786	-964.898	-7	0	1	-0.980	0.000	0.140	-351	23.629	292	
175902	43	1606	-7905	5.246	195.932	-964.410	-7	0	2	-0.980	0.000	0.280	-351	23.629	292	
176905	56	1596	-7927	6.832	194.712	-967.094	-7	0	1	-0.980	0.000	0.140	-351	23.629	292	
177908	48	1614	-7902	5.856	196.908	-964.044	-6	1	1	-0.840	0.140	0.140	-351	23.629	256	
178911	51	1598	-7907	6.222	194.956	-964.654	-7	0	1	-0.980	0.000	0.140	-351	23.629	256	
179915	49	1616	-7920	5.978	197.152	-966.240	-8	1	2	-1.120	0.140	0.280	-351	23.629	256	
180918	45	1604	-7938	5.490	195.688	-968.436	-6	1	1	-0.840	0.140	0.140	-351	23.629	256	
181921	41	1605	-7923	5.002	195.810	-966.606	-7	1	1	-0.980	0.140	0.140	-351	23.629	268	
182925	64	1585	-7894	7.808	193.370	-963.068	-8	0	1	-1.120	0.000	0.140	-351	23.629	268	
183929	69	1596	-7925	8.418	194.712	-966.850	-9	0	2	-1.260	0.000	0.280	-351	23.629	268	
184932	66	1586	-7921	8.052	193.492	-966.362	-8	1	1	-1.120	0.140	0.140	-351	23.629	268	
185935	67	1601	-7907	8.174	195.322	-964.654	-6	1	1	-0.840	0.140	0.140	-351	23.629	256	
186939	63	1620	-7899	7.686	197.640	-963.678	-7	0	2	-0.980	0.000	0.280	-351	23.629	256	
187942	56	1613	-7902	6.832	196.786	-964.044	-8	0	3	-1.120	0.000	0.420	-351	23.629	256	
188945	76	1607	-7892	9.272	196.054	-962.824	-8	-1	2	-1.120	-0.140	0.280	-351	23.629	256	
189949	89	1609	-7897	10.858	196.298	-963.434	-7	2	2	-0.980	0.280	0.280	-351	23.629	240	
190953	78	1614	-7912	9.516	196.908	-965.264	-7	1	1	-0.980	0.140	0.140	-351	23.629	240	
191956	76	1609	-7911	9.272	196.298	-965.142	-8	0	2	-1.120	0.000	0.280	-351	23.629	240	
192959	72	1603	-7895	8.784	195.566	-963.190	-7	1	1	-0.980	0.140	0.140	-351	23.629	240	
193963	70	1613	-7904	8.540	196.786	-964.288	-8	0	1	-1.120	0.000	0.140	-351	23.629	292	
194966	66	1624	-7896	8.052	198.128	-963.312	-8	-1	1	-1.120	-0.140	0.140	-351	23.629	292	
195969	73	1609	-7887	8.906	196.298	-962.214	-9	0	2	-1.260	0.000	0.280	-351	23.629	292	
196973	62	1627	-7907	7.564	198.494	-964.654	-8	0	0	-1.120	0.000	0.000	-351	23.629	292	
197977	79	1618	-7898	9.638	197.396	-963.556	-7	-1	2	-0.980	-0.140	0.280	-351	23.629	272	
198980	78	1629	-7913	9.516	198.738	-965.386	-8	0	2	-1.120	0.000	0.280	-351	23.629	272	
199983	82	1627	-7910	10.004	198.494	-965.020	-7	0	1	-0.980	0.000	0.140	-351	23.629	272	
200987	83	1610	-7896	10.126	196.420	-963.312	-10	-1	1	-1.400	-0.140	0.140	-351	23.629	272	
201990	60	1616	-7894	7.320	197.152	-963.068	-11	-2	2	-1.540	-0.280	0.280	-351	23.629	260	
202993	70	1612	-7922	8.540	196.664	-966.484	-10	-2	1	-1.400	-0.280	0.140	-351	23.629	260	
203997	68	1617	-7881	8.296	197.274	-961.482	-10	-2	1	-1.400	-0.280	0.140	-351	23.629	260	
205001	75	1610	-7904	9.150	196.420	-964.288	-11	-1	2	-1.540	-0.140	0.280	-351	23.629	260	
206004	54	1623	-7902	6.588	198.006	-964.044	-10	-2	1	-1.400	-0.280	0.140	-351	23.629	292	
207007	59	1632	-7921	7.198	199.104	-966.362	-11	-1	1	-1.540	-0.140	0.140	-351	23.629	292	
208011	67	1637	-7913	8.174	199.714	-965.386	-11	-1	1	-1.540	-0.140	0.140	-351	23.629	292	
209014	76	1637	-7917	9.272	199.714	-965.874	-11	-1	0	-1.540	-0.140	0.000	-351	23.629	292	
210017	39	1635	-7893	4.758	199.470	-962.946	-11	-2	1	-1.540	-0.280	0.140	-351	23.629	292	
211021	33	1643	-7914	4.026	200.446	-965.508	-10	-2	1	-1.400	-0.280	0.140	-351	23.629	292	
212025	48	1656	-7905	5.856	202.032	-964.410	-10	-1	1	-1.400	-0.140	0.140	-351	23.629	292	
213028	47	1646	-7901	5.734	200.812	-963.922	-11	-1	0	-1.540	-0.140	0.000	-351	23.629	292	
214031	41	1632	-7912	5.002	199.104	-965.264	-10	0	1	-1.400	0.000	0.140	-351	23.629	196	
215035	36	1666	-7905	4.392	203.252	-964.410	-10	-1	1	-1.400	-0.140	0.140	-351	23.629	196	
216038	48	1661	-7904	5.856	202.642	-964.288	-10	-1	0	-1.400	-0.140	0.000	-351	23.629	196	
217041	52	1629	-7913	6.344	198.738	-965.386	-8	-1	1	-1.120	-0.140	0.140	-351	23.629	196	
218045	44	1644	-7912	5.368	200.568	-965.264	-10	-1	0	-1.400	-0.140	0.000	-351	23.629	296	
219049	35	1660	-7893	4.270	202.520	-962.946	-10	-1	0	-1.400	-0.140	0.000	-351	23.629	296	
220052	40	1655	-7925	4.880	201.910	-966.850	-9	1	0	-1.260	0.140	0.000	-351	23.629	296	
221055	33	1665	-7892	4.026	203.130	-962.824	-8	0	0	-1.120	0.000	0.000	-351	23.629	296	
222059	59	1660	-7918	7.198	202.520	-965.996	-9	0	1	-1.260	0.000	0.140	-351	23.629	196	
223062	51	1664	-7902	6.222	203.008	-964.044	-9	-1	0	-1.260	-0.140	0.000	-351	23.629	196	
224065	54	1655	-7912	6.588	201.910	-965.264	-10	0	1	-1.400	0.000	0.140	-351	23.629	196	
225069	42	1678	-7918	5.124	204.716	-965.996	-11	0	0	-1.540	0.000	0.000	-351	23.629	196	
226073	57	1668	-7906	6.954	203.496	-964.532	-9	0	0	-1.260	0.000	0.000	-351	23.629	192	
227076	33	1656	-7921	4.026	202.032	-966.362	-9	-1	-1	-1.260	-0.140	-0.140	-351	23.629	192	
228079	41	1654	-7895	5.002	201.788	-963.190	-10	0	0	-1.400	0.000	0.000	-351	23.629	192	
229083	35	1661	-7927	4.270	202.642	-967.094	-9	-1	0	-1.260	-0.140	0.000	-351	23.629	192	
230087	52	1668	-7901	6.344	203.496	-963.922	-8	-1	0	-1.120	-0.140	0.000	-351	23.629	260	
231090	34	1672	-7881	4.148	203.984	-961.482	-8	0	0	-1.120	0.000	0.000	-351	23.629	260	
232093	52	1657	-7907	6.344	202.154	-964.654	-8	0	0	-1.120	0.000	0.000	-351	23.629	260	
233097	39	1670	-7904	4.758	203.740	-964.288	-8	1	-1	-1.120	0.140	-0.140	-351	23.629	260	
234100	34	1671	-7920	4.148	203.862	-966.240	-9	1	-2	-1.260	0.140	-0.280	-351	23.629	216	
235103	46	1667	-7927	5.612	203.374	-967.094	-8	1	-1	-1.120	0.140	-0.140	-351	23.629	216	
236107	50	1672	-7917	6.100	203.984	-965.874	-9	3	-1	-1.260	0.420	-0.140	-351	23.629	216	
237111	45	1664	-7897	5.490	203.008	-963.434	-10	1	-2	-1.400	0.140	-0.280	-351	23.629	216	
238114	43	1664	-7918	5.246	203.008	-965.996	-8	0	-2	-1.120	0.000	-0.280	-351	23.629	220	
239117	36	1664	-7918	4.392	203.008	-965.996	-9	2	-2	-1.260	0.280	-0.280	-351	23.629	220	
240121	46	1686	-7919	5.612	205.692	-966.118	-8	2	-2	-1.120	0.280	-0.280	-351	23.629	220	
241124	44	1665	-7898	5.368	203.130	-963.556	-8	2	-2	-1.120	0.280	-0.280	-351	23.629	220	
242127	45	1694	-7915	5.490	206.668	-965.630	-8	1	-3	-1.120	0.140	-0.420	-351	23.629	224	
243131	32	1673	-7915	3.904	204.106	-965.630	-8	2	-2	-1.120	0.280	-0.280	-351	23.629	224	
